yourlist:M2021061492C7BAECDB1C5C413EE0E0348724B68206ED2EH	Entry
GABRD	A0A1W2PRC4
GABRD	A0A1W2PRY7
GALE	Q14376
GALE	A0A024RAB7
GALE	Q5QPP1
GALE	Q5QPP3
GALE	Q5QPP4
GALE	Q5QPP9
GNB1	P62873
GNB1	A0A140VJJ8
GNB1	A0A2L0WW42
GNB1	B1AKQ8
GNB1	B3KVK2
GNB1	F6UT28
GNB1	F6X3N5
GNB1	L8E8V9
GPATCH3	Q96I76
GPATCH3	H0Y5H5
GPATCH3	Q5JYG5
GPN2	Q9H9Y4
GPN2	Q5JYG3
GPN2	Q5JYG4
GPR153	Q6NV75
GPR153	A0A0I9QQ03
GPR157	Q5UAW9
GPR157	K7ERQ3
GPR3	P46089
GPR3	F1DAM5
GRHL3	Q8TE85
GRHL3	E9PLG9
GRHL3	E9PLT6
H6PD	O95479
HES2	Q9Y543
HES2	K7EJN2
HES2	K7EJQ0
HES3	Q5TGS1
HES4	Q9HCC6
HES4	D6REB3
HES4	E9PB28
HES5	Q5TA89
HES5	Q5M8T3
HMGCL	P35914
HMGCL	B1AK13
HMGCL	G8FGB4
HMGCL	H0Y2L7
HMGCL	L8EC54
HMGN2	P05204
HMGN2	D3DPL0
HNRNPCL1	O60812
HNRNPCL2	B2RXH8
HNRNPCL2	A0A0G2JNQ3
HNRNPCL3	B7ZW38
HNRNPCL4	P0DMR1
HNRNPCL4	A0A0G2JPF8
HNRNPR	O43390
HNRNPR	A0A286YEZ8
HNRNPR	A0A6Q8PEX7
HNRNPR	A0A6Q8PH31
HNRNPR	A0A6Q8PH35
HNRNPR	A0A6Q8PHG0
HNRNPR	B4DT28
HP1BP3	Q5SSJ5
HP1BP3	B0QZK4
HP1BP3	B0QZK5
HP1BP3	B0QZK6
HP1BP3	B0QZK7
HP1BP3	B0QZK8
HP1BP3	B0QZK9
HP1BP3	B4E0N8
HP1BP3	L8E9W8
HP1BP3	Q5SWC8
HSPB7	Q9UBY9
HSPB7	C9J5A3
HSPB7	D3YTC6
HSPB7	Q68DG0
HSPB7	Q8N241
HSPG2	P98160
HSPG2	A0A024RAB6
HSPG2	A0A0U1RQT3
HSPG2	A0A2R8YH07
HSPG2	A0A3B3IT11
HSPG2	B6EU51
HSPG2	H0Y5A9
HSPG2	H7BYA5
HSPG2	O43834
HSPG2	Q2VPA1
HTR1D	P28221
HTR6	P50406
ICMT	O60725
ICMT	A0A024R4F6
ICMT	K7EQW0
ICMT	Q7Z750
ID3	Q02535
ID3	A0A024RAC4
IFFO2	Q5TF58
IFFO2	H0Y4W3
IFFO2	J3KNZ4
IFNLR1	Q8IU57
IFNLR1	Q5VTX9
IGSF21	Q96ID5
IL22RA1	Q8N6P7
INTS11	Q5TA45
INTS11	A0A087WXT8
INTS11	A0A087WYI0
INTS11	C9IYS7
INTS11	C9J979
INTS11	E9PI75
INTS11	E9PIG1
INTS11	E9PIL7
INTS11	E9PIS0
INTS11	E9PIX9
INTS11	E9PJG0
INTS11	E9PKA4
INTS11	E9PMA2
INTS11	E9PNH9
INTS11	E9PNS4
INTS11	E9PQF0
INTS11	H0YCE0
INTS11	H0YDB1
INTS11	H0YE15
INTS11	H0YEQ9
INTS11	H7C247
INTS11	J3QRY6
INTS11	Q96HV7
ISG15	P05161
ISG15	A0A096LNZ9
ISG15	A0A096LPJ4
KAZN	Q674X7
KAZN	A0A1B0GTU0
KAZN	A0A1B0GWK2
KAZN	B0QYQ6
KCNAB2	Q13303
KCNAB2	A0A590UJ15
KCNAB2	A0A590UJ35
KCNAB2	A0A590UJ72
KCNAB2	A0A590UJ79
KCNAB2	A0A590UJB6
KCNAB2	A0A590UJB8
KCNAB2	A0A590UJI8
KCNAB2	A0A590UJJ4
KCNAB2	A0A590UJK5
KCNAB2	A0A590UJU1
KCNAB2	A0A590UJU4
KCNAB2	A0A590UJV4
KCNAB2	A0A590UJX9
KCNAB2	A0A590UJY1
KCNAB2	A0A590UK89
KCNAB2	A0A5F9UN28
KCNAB2	A1PR14
KCNAB2	K7EIR5
KCNAB2	K7EKU4
KCNAB2	Q5TG78
KCNAB2	Q5TG81
KCNAB2	Q5TG84
KCNAB2	Q6FG22
KCNAB2	Q6FG44
KDF1	Q8NAX2
KDF1	Q68D65
KDM1A	O60341
KDM1A	R4GMP9
KDM1A	R4GMQ1
KIAA2013	Q8IYS2
KIAA2013	A0A024R4J3
KIAA2013	L8ECM5
KIF17	Q9P2E2
KIF17	A0A024RAF4
KIF17	A0A0A0MRS8
KIF1B	O60333
KIF1B	A0A024R4H4
KIF1B	A0A087WWA3
KIF1B	A0A0U1RQL3
KIF1B	Q4R9M9
KLHDC7A	Q5VTJ3
KLHDC7A	A4FU39
KLHDC7A	A7E2V3
KLHL17	Q6TDP4
KLHL17	J3QLT4
KLHL17	Q0VGE6
KLHL17	Q86XA8
KLHL21	Q9UJP4
KLHL21	K7ELI0
KLHL21	K7EMF2
KLHL21	K7ESH2
KLHL21	L8E9P8
KLHL21	Q2NKK7
LACTBL1	A8MY62
LACTBL1	H0Y608
LDLRAD2	Q5SZI1
LDLRAP1	Q5SW96
LIN28A	Q9H9Z2
LINC00337	Q8N6G1
LRRC38	Q5VT99
LRRC47	Q8N1G4
LRRC47	J3KRP5
LUZP1	Q86V48
LUZP1	A0A024RAC0
LUZP1	E5RFK8
LUZP1	E5RHU7
LUZP1	Q05DE3
LYPLA2	O95372
LYPLA2	A0A140VJC9
LYPLA2	Q5QPN5
LYPLA2	Q5QPN9
LYPLA2	Q5QPQ0
LYPLA2	Q5QPQ1
LYPLA2	Q5QPQ2
LYPLA2	Q5QPQ3
LZIC	Q8WZA0
LZIC	A0A024R4I7
LZIC	K7ES95
MACO1	Q8N5G2
MACO1	A0A3B3ITD2
MAD2L2	Q9UI95
MAD2L2	A0A024R4I4
MAD2L2	B1AK43
MAD2L2	B1AK44
MAD2L2	B1AK45
MAN1C1	Q9NR34
MAN1C1	A0A087WZ31
MAN1C1	A6NGN6
MAN1C1	B1AJZ5
MAP3K6	O95382
MAP3K6	A0A590UJN3
MAP3K6	H0Y8A3
MAP3K6	L8ECB4
MAP3K6	Q32MQ5
MASP2	O00187
MDS2	Q8NDY4
MEGF6	O75095
MEGF6	H7C557
MEGF6	H7C5N9
MFAP2	P55001
MFAP2	A0A024RA94
MFN2	O95140
MFN2	A0A6Q8PFJ4
MFN2	A0A6Q8PFT5
MFN2	A0A6Q8PGA3
MFN2	A0A6Q8PGR2
MFN2	A0A6Q8PGS9
MFN2	A0A6Q8PGV8
MFN2	A0A6Q8PH07
MFN2	Q5JXC5
MIB2	Q96AX9
MIB2	D6R9Q6
MIB2	D6RAZ0
MIB2	D6RDI1
MIB2	D6RE96
MIB2	D6RED3
MIB2	D6RFJ2
MIB2	D6RHY5
MIB2	E9PD12
MIB2	F2Z2L2
MIB2	H0YAM8
MIB2	J3QLE0
MIB2	J3QR95
MICOS10	Q5TGZ0
MICOS10	A0A087WU07
MICOS10	A0A3B3IRY5
MICOS10-NBL1	R4GMM1
MICOS10-NBL1	R4GMY4
MICOS10-NBL1	R4GNA1
MIIP	Q5JXC2
MMEL1	Q495T6
MMEL1	J3KRD2
MMP23B	O75900
MMP23B	B4DMZ6
MMP23B	D6REP6
MMP23B	H0Y6I4
MMP23B	H0YA69
MMP23B	H0YAE5
MMP23B	J3KRS4
MMP23B	O75086
MORN1	Q5T089
MORN1	B4DRE3
MORN1	Q5T088
MORN1	U3KQS9
MRPL20	Q9BYC9
MRPL20	I3L2X1
MRTO4	Q9UKD2
MST1L	Q2TV78
MTFR1L	Q9H019
MTFR1L	C9JF50
MTFR1L	E9PIF9
MTFR1L	E9PJP7
MTFR1L	E9PLD2
MTFR1L	E9PLU1
MTFR1L	E9PNJ0
MTFR1L	E9PPF9
MTFR1L	E9PPQ0
MTFR1L	E9PRK5
MTFR1L	E9PRW1
MTFR1L	E9PSD6
MTHFR	P42898
MTHFR	A0A1B0GXD9
MTHFR	A0A1C9J7R9
MTHFR	A0A1W5XGE6
MTHFR	A0A286YF17
MTHFR	A0A286YF47
MTHFR	A0A286YFD0
MTHFR	A0A482KE01
MTHFR	A0A482KFZ6
MTHFR	A0A4P8L6T5
MTHFR	A0MPA5
MTHFR	F8W9T8
MTHFR	L7P8G6
MTHFR	Q4FE54
MTHFR	Q5SNW5
MTHFR	Q5SNW7
MTHFR	Q9NY62
MTHFR	Q9NY63
MTOR	P42345
MTOR	B1AKP8
MTOR	B1AKQ2
MUL1	Q969V5
MXRA8	Q9BRK3
MXRA8	A0A024R0A0
MYOM3	Q5VTT5
NADK	O95544
NADK	A0A024R058
NADK	A0A0A0MR98
NADK	J3KSP9
NADK	J3KTI3
NADK	J3QR86
NADK	J3QRC0
NBL1	P41271
NBL1	A0A087WTY6
NBL1	A3KFI1
NBL1	A3KFI2
NBL1	A3KFI3
NBL1	A3KFI4
NBL1	A3KFI5
NBL1	E5RFZ1
NBPF1	Q3BBV0
NBPF1	Q4VC10
NBPF1	S4R2X0
NBPF1	S4R2Z6
NBPF3	Q9H094
NBPF3	A0A087WUB7
NBPF3	A0A087WUY9
NBPF3	X6RCV0
NCMAP	Q5T1S8
NECAP2	Q9NVZ3
NECAP2	D6RAN6
NECAP2	D6RB24
NECAP2	F6SKB8
NECAP2	H0Y970
NIPAL3	Q6P499
NIPAL3	A6NN97
NIPAL3	H0Y4I9
NMNAT1	Q9HAN9
NMNAT1	A0A024R4E1
NMNAT1	B1AN62
NMNAT1	K7EPD7
NOC2L	Q9Y3T9
NOL9	Q5SY16
NPHP4	O75161
NPHP4	D6RA06
NPHP4	H0YA08
NPPA	P01160
NPPA	A0A087X094
NPPA	B0ZBE8
NPPB	P16860
NR0B2	Q15466
NUDC	Q9Y266
NUDC	A0A0A0MSS4
NUDC	A0A0A0MSU9
OR4F16	A0A126GV92
OR4F29	Q6IEY1
OR4F5	Q8NH21
OR4F5	A0A126GWG7
OR4F5	A0A2U3U0J3
OTUD3	Q5T2D3
OTUD3	Q0VDK5
PADI1	Q9ULC6
PADI2	Q9Y2J8
PADI3	Q9ULW8
PADI4	Q9UM07
PADI4	B1AQ67
PADI4	Q53HY9
PADI4	Q6EVJ1
PADI4	Q6EVJ2
PADI4	Q6EVJ4
PADI4	Q6EVJ5
PADI4	Q6EVJ6
PADI4	Q6EVJ7
PADI6	Q6TGC4
PAFAH2	Q99487
PAFAH2	Q5SY00
PAFAH2	Q5SY01
PANK4	Q9NVE7
PANK4	D6RJF3
PANK4	E9PHT6
PANK4	H0Y9E4
PANK4	H0YA02
PANK4	H0YA26
PANK4	H0YA31
PANK4	Q7RTX2
PAQR7	Q86WK9
PAQR7	A1L182
PARK7	Q99497
PARK7	K7ELW0
PARK7	K7EN27
PAX7	P23759
PDIK1L	Q8N165
PDIK1L	X6RHF8
PDPN	Q86YL7
PDPN	D6RH07
PDPN	E7ETC6
PDPN	H0Y8Q3
PDPN	H0YA72
PER3	P56645
PER3	A0A087WV69
PER3	A2I2N5
PER3	A6H8X0
PER3	Q2TAB4
PER3	Q8TAR6
PERM1	Q5SV97
PEX10	O60683
PEX10	A0A024R068
PEX10	A0A024R0A4
PEX10	A0A3B3ITN6
PEX10	D6RA89
PEX10	D6RBB0
PEX10	D6RIF5
PEX10	J3KRE0
PEX10	J3QRM4
PEX10	Q6FGN0
PEX14	O75381
PEX14	K7EK59
PEX14	Q8WVL1
PGD	P52209
PGD	K7EJT3
PGD	K7ELN9
PGD	K7EM49
PGD	K7EMN2
PGD	K7EPF6
PHF13	Q86YI8
PIGV	Q9NUD9
PIGV	A0A0A0MSX6
PIGV	A0A6I8PU65
PIGV	E9PQC7
PIGV	X1WI27
PIK3CD	O00329
PIK3CD	A0A024R4H1
PIK3CD	A0A2K8FKQ1
PIK3CD	A0A2K8FKR1
PIK3CD	A0A2K8FKT1
PIK3CD	A0A2K8FKV1
PIK3CD	A7E2E0
PIK3CD	B7ZM44
PIK3CD	F8W9P4
PIK3CD	Q5SR50
PIK3CD-AS1	Q5SR53
PINK1	Q9BXM7
PITHD1	Q9GZP4
PITHD1	X6R8S9
PITHD1	X6RHB9
PLA2G2A	P14555
PLA2G2A	A0A024RA96
PLA2G2A	A0A3B3IRX2
PLA2G2A	Q8NI47
PLA2G2C	Q5R387
PLA2G2C	J3KMZ3
PLA2G2D	Q9UNK4
PLA2G2E	Q9NZK7
PLA2G2F	Q9BZM2
PLA2G5	P39877
PLCH2	O75038
PLCH2	A2VCM4
PLCH2	B9DI82
PLCH2	V9GY64
PLEKHG5	O94827
PLEKHG5	A0A5F9ZHW8
PLEKHG5	A0A6Q8PF22
PLEKHG5	A0A6Q8PG76
PLEKHG5	A0A6Q8PGZ5
PLEKHG5	A0A6Q8PHD3
PLEKHG5	A0A6Q8PHJ1
PLEKHG5	A0A6Q8PHR5
PLEKHG5	A0A6Q8PHS0
PLEKHG5	A0A7I2PMD6
PLEKHG5	Q5SY18
PLEKHM2	Q8IWE5
PLEKHM2	A0A2R8Y575
PLEKHM2	Q5VVD7
PLEKHN1	Q494U1
PLEKHN1	J3KSM5
PLOD1	Q02809
PLOD1	Q5JXB7
PLOD1	Q5JXB8
PNRC2	Q9NPJ4
PNRC2	J3KS97
PRAMEF1	O95521
PRAMEF1	B7ZM17
PRAMEF10	O60809
PRAMEF11	O60813
PRAMEF12	O95522
PRAMEF13	Q5VWM6
PRAMEF13	A0A1W2PPB9
PRAMEF14	Q5SWL7
PRAMEF14	A6NFR9
PRAMEF15	Q5VWM5
PRAMEF17	Q5VTA0
PRAMEF18	Q5VWM3
PRAMEF18	A0A140TA27
PRAMEF19	Q5SWL8
PRAMEF2	O60811
PRAMEF1,PRAMEF2	Q8IW67
PRAMEF20	Q5VT98
PRAMEF25	A6NGN4
PRAMEF25	A0A0G2JN56
PRAMEF26	H0Y7S4
PRAMEF27	A3QJZ7
PRAMEF33	A0A0G2JMD5
PRAMEF4	O60810
PRAMEF5	Q5TYX0
PRAMEF6	Q5VXH4
PRAMEF7	Q5VXH5
PRAMEF8	Q5VWM4
PRAMEF9	A0A096LNW4
PRAMEF9	A0A0G2JP20
PRAMEF9	A0A1B0GU46
PRAMEF9	B7ZW04
PRDM16	Q9HAZ2
PRDM16	D6RDW0
PRDM16	D6RFY3
PRDM16	H0YA13
PRDM16	L8E8P9
PRDM16	U3KQL6
PRDM2	Q13029
PRDM2	A0A024QZ72
PRDM2	A0A024QZ73
PRDM2	D6RAA0
PRDM2	D6RED5
PRDM2	D6RJM6
PRDM2	H0Y9J3
PRDM2	S4R3F7
PRKCZ	Q05513
PRKCZ	D6RAN5
PRKCZ	D6RAU1
PRKCZ	D6RBD4
PRKCZ	D6RC84
PRKCZ	D6RCN4
PRKCZ	D6RD31
PRKCZ	D6RDM0
PRKCZ	D6REZ8
PRKCZ	D6RG01
